src,dst,relation
32647433,Kreuzberg,Has Property
33259689,Kreuzberg,Has Property
13599612,Kreuzberg,Has Property
6782131,Charlottenburg,Has Property
18034246,Pankow,Has Property
9765401,Prenzlauer Berg,Has Property
59442407,Prenzlauer Berg,Has Property
15415749,Prenzlauer Berg,Has Property
4579160,Prenzlauer Berg,Has Property
78195405,Neukölln,Has Property
57704817,Neukölln,Has Property
27017069,Neukölln,Has Property
68090517,Fennpfuhl,Has Property
36506009,Neukölln,Has Property
11966344,NULL,Has Property
721378,La Nova Esquerra de l'Eixample,Has Property
10287576,L'Antiga Esquerra de l'Eixample,Has Property
38658072,La Nova Esquerra de l'Eixample,Has Property
612665,Dreta de l'Eixample,Has Property
99734086,NULL,Has Property
3028710,Dreta de l'Eixample,Has Property
21825503,Dreta de l'Eixample,Has Property
3094972,Sant Pere/Santa Caterina,Has Property
87235715,NULL,Has Property
26052422,NULL,Has Property
7016191,Sants-Montjuïc,Has Property
13092213,Charlottenburg,Has Property
61347438,Lichterfelde,Has Property
13296748,Neukölln,Has Property
35652732,Gazi,Has Property
48703385,De Pijp,Has Property
27090599,Oud-West,Has Property
51577494,Bos en Lommer,Has Property
15879881,Oud-West,Has Property
72251520,Jordaan,Has Property
4578091,Zeeburg,Has Property
17593168,Indische Buurt,Has Property
109094834,NULL,Has Property
54185406,NULL,Has Property
42742773,Monastiraki,Has Property
51315245,NULL,Has Property
122373855,Pangrati,Has Property
3593793,Pangrati,Has Property
6068569,Thiseio,Has Property
8795077,Oud-West,Has Property
1789339,NULL,Has Property
15604776,Astoria,Has Property
21150873,Bedford-Stuyvesant,Has Property
69382813,NULL,Has Property
37185194,NULL,Has Property
987941,Bedford-Stuyvesant,Has Property
5098585,Bushrod,Has Property
54551144,NULL,Has Property
1347272,NULL,Has Property
1012583,Williamsburg,Has Property
13835811,Williamsburg,Has Property
593115,Brooklyn Heights,Has Property
15712909,NULL,Has Property
15985137,NULL,Has Property
5362703,Bushwick,Has Property
376084,Carroll Gardens,Has Property
8813858,Carroll Gardens,Has Property
33346283,Hamilton Heights,Has Property
1583594,Upper West Side,Has Property
4558120,Upper West Side,Has Property
5334697,Washington Heights,Has Property
50289490,East Village,Has Property
35927005,Sunset Park,Has Property
1830214,Pacifico,Has Property
51929347,NULL,Has Property
30371786,West Melbourne,Has Property
140701,Collingwood/Fitzroy,Has Property
123018283,NULL,Has Property
13804696,St Kilda,Has Property
9496787,Port Melbourne,Has Property
100158605,NULL,Has Property
67065426,NULL,Has Property
29745883,NULL,Has Property
72496199,NULL,Has Property
108353392,NULL,Has Property
4582110,Richmond,Has Property
1681836,NULL,Has Property
57454071,NULL,Has Property
114446095,NULL,Has Property
10580605,Brunswick,Has Property
47239353,Central Business District,Has Property
19620207,NULL,Has Property
34416465,NULL,Has Property
14710016,Pedion Areos,Has Property
27903197,University of Texas,Has Property
20985179,NULL,Has Property
6745750,Crestview,Has Property
114622910,Attiki,Has Property
17940062,NULL,Has Property
61834177,Downtown,Has Property
36507423,Stadionbuurt,Has Property
51642830,Wilmersdorf,Has Property
9756594,Neukölln,Has Property
45461899,NULL,Has Property
88638098,Neukölln,Has Property
41795618,Neukölln,Has Property
27952946,Neukölln,Has Property
5245644,MLK & 183,Has Property
39506137,El Putget i Farró,Has Property
24812575,Sant Gervasi - la Bonanova,Has Property
96193497,NULL,Has Property
32901587,Wilmersdorf,Has Property
63401682,Kreuzberg,Has Property
10513357,Uptown,Has Property
1185573,Uptown,Has Property
16560215,Louise,Has Property
76759250,NULL,Has Property
39524100,Chatelain,Has Property
15816010,Ixelles,Has Property
16165046,NULL,Has Property
